time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-20 00:00:00+00:00,32,28,237,80
2023-04-21 00:00:00+00:00,75,37,533,199
2023-04-22 00:00:00+00:00,28,17,198,79
2023-04-23 00:00:00+00:00,28,17,186,80
2023-04-24 00:00:00+00:00,47,33,568,191
2023-04-25 00:00:00+00:00,133,102,603,180
2023-04-26 00:00:00+00:00,61,35,593,179
2023-04-27 00:00:00+00:00,75,35,555,192
2023-04-28 00:00:00+00:00,62,37,507,168
2023-04-29 00:00:00+00:00,36,22,135,57
2023-04-30 00:00:00+00:00,38,28,139,61
2023-05-01 00:00:00+00:00,181,141,526,110
2023-05-02 00:00:00+00:00,59,33,505,176
2023-05-03 00:00:00+00:00,71,43,488,172
2023-05-04 00:00:00+00:00,115,47,564,176
2023-05-05 00:00:00+00:00,41,27,466,182
2023-05-06 00:00:00+00:00,36,22,164,73
2023-05-07 00:00:00+00:00,33,20,206,65
2023-05-08 00:00:00+00:00,72,44,714,204
2023-05-09 00:00:00+00:00,68,39,677,211
2023-05-10 00:00:00+00:00,86,47,659,198
2023-05-11 00:00:00+00:00,104,48,527,178
2023-05-12 00:00:00+00:00,147,129,535,167
2023-05-13 00:00:00+00:00,54,45,115,53
2023-05-14 00:00:00+00:00,47,30,234,54
2023-05-15 00:00:00+00:00,156,124,661,204
2023-05-16 00:00:00+00:00,118,86,438,181
2023-05-17 00:00:00+00:00,140,80,718,209
2023-05-18 00:00:00+00:00,109,81,568,160
2023-05-19 00:00:00+00:00,107,60,543,164
2023-05-20 00:00:00+00:00,43,21,164,65
2023-05-21 00:00:00+00:00,46,26,260,80
2023-05-22 00:00:00+00:00,84,48,733,188
2023-05-23 00:00:00+00:00,75,44,751,218
2023-05-24 00:00:00+00:00,51,33,559,193
2023-05-25 00:00:00+00:00,73,40,593,185
2023-05-26 00:00:00+00:00,50,36,446,167
2023-05-27 00:00:00+00:00,40,27,164,58
2023-05-28 00:00:00+00:00,32,14,137,56
2023-05-29 00:00:00+00:00,44,21,278,117
2023-05-30 00:00:00+00:00,98,51,597,216
2023-05-31 00:00:00+00:00,73,46,605,224
2023-06-01 00:00:00+00:00,238,190,495,173
2023-06-02 00:00:00+00:00,90,30,602,146
2023-06-03 00:00:00+00:00,63,38,199,66
2023-06-04 00:00:00+00:00,22,15,169,59
2023-06-05 00:00:00+00:00,162,119,501,160
2023-06-06 00:00:00+00:00,230,155,798,203
2023-06-07 00:00:00+00:00,146,106,804,199
2023-06-08 00:00:00+00:00,105,79,528,178
2023-06-09 00:00:00+00:00,74,37,438,150
2023-06-10 00:00:00+00:00,31,16,224,88
2023-06-11 00:00:00+00:00,32,20,193,70
2023-06-12 00:00:00+00:00,99,74,610,185
2023-06-13 00:00:00+00:00,107,63,684,188
2023-06-14 00:00:00+00:00,111,64,585,209
2023-06-15 00:00:00+00:00,172,136,657,176
2023-06-16 00:00:00+00:00,102,61,653,181
2023-06-17 00:00:00+00:00,87,61,137,55
2023-06-18 00:00:00+00:00,27,17,294,63
2023-06-19 00:00:00+00:00,57,37,515,147
2023-06-20 00:00:00+00:00,61,40,568,192
2023-06-21 00:00:00+00:00,73,43,478,173
2023-06-22 00:00:00+00:00,86,64,462,150
2023-06-23 00:00:00+00:00,84,55,588,145
2023-06-24 00:00:00+00:00,39,34,229,78
2023-06-25 00:00:00+00:00,15,12,203,60
2023-06-26 00:00:00+00:00,118,83,804,221
2023-06-27 00:00:00+00:00,117,65,751,204
2023-06-28 00:00:00+00:00,114,69,745,204
2023-06-29 00:00:00+00:00,132,65,686,189
2023-06-30 00:00:00+00:00,133,110,509,165
2023-07-01 00:00:00+00:00,108,92,168,57
2023-07-02 00:00:00+00:00,41,15,224,65
